location=Haifa, manufacture=Nissan, model=Civic, year=2018, carClass=Premium, carRegNumber=REG-1848, fuel=Diesel, about=Very nice car, seats=4, price=100.0
location=Tel Aviv, manufacture=Hyundai, model=Civic, year=2016, carClass=Lux, carRegNumber=REG-6845, fuel=Diesel, about=Very nice car, seats=4, price=350.0
location=Haifa, manufacture=Toyota, model=Altima, year=2023, carClass=Lux, carRegNumber=REG-4150, fuel=Diesel, about=Very nice car, seats=5, price=400.0
location=Tel Aviv, manufacture=Nissan, model=Elantra, year=2020, carClass=Premium, carRegNumber=REG-7607, fuel=Electric, about=Very nice car, seats=2, price=1000.0
location=Jerusalem, manufacture=Chevrolet, model=Optima, year=2018, carClass=Econom, carRegNumber=REG-807, fuel=Gas, about=Very nice car, seats=4, price=400.0
location=Haifa, manufacture=Honda, model=Corolla, year=2019, carClass=Lux, carRegNumber=REG-2336, fuel=Diesel, about=Very nice car, seats=5, price=230.0
location=Tel Aviv, manufacture=Hyundai, model=Civic, year=2022, carClass=Econom, carRegNumber=REG-7556, fuel=Gas, about=Very nice car, seats=2, price=400.0
location=Tel Aviv, manufacture=Honda, model=3 Series, year=2015, carClass=Premium, carRegNumber=REG-2754, fuel=Hybrid, about=Very nice car, seats=4, price=450.0
location=Jerusalem, manufacture=Toyota, model=Optima, year=2022, carClass=Econom, carRegNumber=REG-376, fuel=Hybrid, about=Very nice car, seats=4, price=100.0
location=Jerusalem, manufacture=Honda, model=Elantra, year=2020, carClass=Premium, carRegNumber=REG-7125, fuel=Petrol, about=Very nice car, seats=5, price=350.0
location=Tel Aviv, manufacture=Volkswagen, model=Silverado, year=2018, carClass=Econom, carRegNumber=REG-8483, fuel=Petrol, about=Very nice car, seats=2, price=450.0
location=Tel Aviv, manufacture=Nissan, model=Silverado, year=2022, carClass=Econom, carRegNumber=REG-4329, fuel=Electric, about=Very nice car, seats=4, price=450.0
location=Tel Aviv, manufacture=Mercedes-Benz, model=Corolla, year=2021, carClass=Premium, carRegNumber=REG-8534, fuel=Electric, about=Very nice car, seats=4, price=350.0
location=Haifa, manufacture=Hyundai, model=Elantra, year=2024, carClass=Econom, carRegNumber=REG-276, fuel=Diesel, about=Very nice car, seats=2, price=350.0
location=Jerusalem, manufacture=Volkswagen, model=C-Class, year=2016, carClass=Lux, carRegNumber=REG-3681, fuel=Gas, about=Very nice car, seats=7, price=450.0
location=Tel Aviv, manufacture=Kia, model=Golf, year=2017, carClass=Econom, carRegNumber=REG-1013, fuel=Hybrid, about=Very nice car, seats=2, price=500.0
location=Haifa, manufacture=Honda, model=Optima, year=2018, carClass=Econom, carRegNumber=REG-2580, fuel=Electric, about=Very nice car, seats=4, price=1000.0
location=Jerusalem, manufacture=Volkswagen, model=F-150, year=2015, carClass=Premium, carRegNumber=REG-5209, fuel=Gas, about=Very nice car, seats=2, price=450.0
location=Haifa, manufacture=Nissan, model=F-150, year=2024, carClass=Lux, carRegNumber=REG-5478, fuel=Electric, about=Very nice car, seats=2, price=230.0
location=Tel Aviv, manufacture=Nissan, model=Corolla, year=2022, carClass=Lux, carRegNumber=REG-9616, fuel=Petrol, about=Very nice car, seats=2, price=450.0
location=Haifa, manufacture=Honda, model=Elantra, year=2023, carClass=Premium, carRegNumber=REG-5812, fuel=Hybrid, about=Very nice car, seats=2, price=350.0
location=Tel Aviv, manufacture=Hyundai, model=C-Class, year=2023, carClass=Premium, carRegNumber=REG-8848, fuel=Gas, about=Very nice car, seats=7, price=100.0
location=Tel Aviv, manufacture=Mercedes-Benz, model=Corolla, year=2015, carClass=Econom, carRegNumber=REG-1100, fuel=Diesel, about=Very nice car, seats=5, price=1000.0
location=Haifa, manufacture=Ford, model=Optima, year=2019, carClass=Econom, carRegNumber=REG-8054, fuel=Diesel, about=Very nice car, seats=5, price=400.0
location=Tel Aviv, manufacture=Nissan, model=Elantra, year=2021, carClass=Premium, carRegNumber=REG-8097, fuel=Electric, about=Very nice car, seats=2, price=350.0
